co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Giáo dục và Đào tạo,DBH,Trường đại học,Tư thục,Bac Ha International University,TRƯỜNG ĐẠI HỌC QUỐC TẾ BẮC HÀ,Bắc Ninh,http://iubh.edu.vn/
QSQ,VNUHCM - International University,Trường đại học,Công lập,https://hcmiu.edu.vn/,TRƯỜNG ĐẠI HỌC QUỐC TẾ - ĐẠI HỌC QUỐC GIA TP. HỒ CHÍ MINH,AUN-QA,TP. Hồ Chí Minh
Bộ Giáo dục và Đào tạo,EIU,Trường đại học,Tư thục,Eastern International University,TRƯỜNG ĐẠI HỌC QUỐC TẾ MIỀN ĐÔNG,Bình Dương,https://eiu.edu.vn/
Nước ngoài,RMU,Trường đại học,Nước ngoài,The Royal Melbourne Institute of Technology University in Vietnam,TRƯỜNG ĐẠI HỌC QUỐC TẾ RMIT VIỆT NAM,TP. Hồ Chí Minh,https://www.rmit.edu.vn/
Bộ Giáo dục và Đào tạo,HIU,Trường đại học,Tư thục,Hong Bang University International,TRƯỜNG ĐẠI HỌC QUỐC TẾ HỒNG BÀNG,TP. Hồ Chí Minh,https://hiu.vn/
Bộ Giáo dục và Đào tạo,TSN,Trường đại học,Công lập,Nha Trang University,TRƯỜNG ĐẠI HỌC NHA TRANG,Khánh Hoà,http://www.ntu.edu.vn/
Bộ Giáo dục và Đào tạo,NTH,Trường đại học,Công lập,Foreign Trade University,TRƯỜNG ĐẠI HỌC NGOẠI THƯƠNG,Hà Nội,http://www.ftu.edu.vn/
UBND TP. Hồ Chí Minh,SGD,Trường đại học,Công lập,Sai Gon University,TRƯỜNG ĐẠI HỌC SÀI GÒN,TP. Hồ Chí Minh,https://sgu.edu.vn/
"Bộ Văn hóa, Thể thao và Du lịch",DSD,Trường đại học,Công lập,HCMC University of Theatre and Cinema,"TRƯỜNG ĐẠI HỌC SÂN KHẤU, ĐIỆN ẢNH TP. HỒ CHÍ MINH",TP. Hồ Chí Minh,http://skdahcm.edu.vn/
Bộ Giáo dục và Đào tạo,DQN,Trường đại học,Công lập,Quy Nhon University,TRƯỜNG ĐẠI HỌC QUY NHƠN,Bình Định,http://www.qnu.edu.vn/
